C:\Test.Xpress Projects\Tubo Kunt Flávia\Data\Cartao.1_M1.xdf;03.10.19;11:51:52;;;
;C1:  Time[s];C1:  [Pa];C2:  Time[s];C2:  [Pa];M1: FRF(C1,C2) Frequency[Hz];M1: FRF(C1,C2) [](A);;M2: FRF(C2,C1) Frequency[Hz];M2: FRF(C2,C1) [](A);;M3: FFT(C1) Frequency[Hz];M3: FFT(C1) [Pa](A);;M4: FFT(C2) Frequency[Hz];M4: FFT(C2) [Pa](A);;M5: PHASE(M1) Frequency[Hz];M5: PHASE(M1) Phase[°](A);M6: PHASE(M2) Frequency[Hz];M6: PHASE(M2) Phase[°](A)
Unit;s;Pa;s;Pa;Hz;;;Hz;;;Hz;Pa;;Hz;Pa;;Hz;°;Hz;°
Sensor;;;;;;;;;;;;;;;;;;;;
PointId;;;;;;;;;;;;;;;;;;;;
PointDir;;'';;'';;'';;;'';;;'';;;'';;;'';;''
Info1;;;;;;;;;;;;;;;;;;;;
Info2;;;;;;;;;;;;;;;;;;;;
Info3;;;;;;;;;;;;;;;;;;;;
Info4;;;;;;;;;;;;;;;;;;;;
Z Axis;;;;;;;;;;;;;;;;
;0,02;-4,47;0,02;-1,69;280,00;0,48;0,00;280,00;0,35;-0,00;280,00;-0,01;0,01;280,00;-0,01;0,02;280,00;0,28;280,00;-0,28
;0,02;-4,57;0,02;-4,40;284,00;0,49;0,00;284,00;0,36;-0,00;284,00;-0,03;-0,03;284,00;-0,04;-0,04;284,00;0,25;284,00;-0,25
;0,02;-5,90;0,02;-7,58;288,00;0,50;0,00;288,00;0,36;-0,00;288,00;0,04;0,02;288,00;0,04;0,02;288,00;0,27;288,00;-0,27
;0,02;-11,16;0,02;-9,25;292,00;0,51;0,00;292,00;0,36;-0,00;292,00;-0,02;-0,02;292,00;-0,02;-0,03;292,00;0,25;292,00;-0,25
;0,02;0,36;0,02;-11,29;296,00;0,52;0,00;296,00;0,37;-0,00;296,00;-0,01;0,04;296,00;-0,01;0,04;296,00;0,22;296,00;-0,22
;0,02;2,22;0,02;-1,28;300,00;0,53;0,00;300,00;0,37;-0,00;300,00;0,02;-0,03;300,00;0,03;-0,03;300,00;0,22;300,00;-0,22
;0,02;6,57;0,02;11,86;304,00;0,54;0,00;304,00;0,37;-0,00;304,00;-0,03;-0,00;304,00;-0,04;-0,00;304,00;0,29;304,00;-0,29
;0,02;12,31;0,02;20,33;308,00;0,55;0,00;308,00;0,37;-0,00;308,00;0,03;0,03;308,00;0,04;0,03;308,00;0,18;308,00;-0,18
;0,02;11,84;0,02;17,57;312,00;0,57;0,00;312,00;0,38;-0,00;312,00;-0,00;-0,02;312,00;-0,01;-0,02;312,00;0,17;312,00;-0,17
;0,02;16,91;0,02;11,49;316,00;0,57;0,00;316,00;0,38;-0,00;316,00;-0,03;0,02;316,00;-0,03;0,02;316,00;0,14;316,00;-0,14
