C:\Test.Xpress Projects\Tubo Kunt Flávia\Data\Cortica.3_M2.xdf;03.10.19;11:54:33;;;
;C1:  Time[s];C1:  [Pa];C2:  Time[s];C2:  [Pa];M1: FRF(C1,C2) Frequency[Hz];M1: FRF(C1,C2) [](A);;M2: FRF(C2,C1) Frequency[Hz];M2: FRF(C2,C1) [](A);;M3: FFT(C1) Frequency[Hz];M3: FFT(C1) [Pa](A);;M4: FFT(C2) Frequency[Hz];M4: FFT(C2) [Pa](A);;M5: PHASE(M1) Frequency[Hz];M5: PHASE(M1) Phase[°](A);M6: PHASE(M2) Frequency[Hz];M6: PHASE(M2) Phase[°](A)
Unit;s;Pa;s;Pa;Hz;;;Hz;;;Hz;Pa;;Hz;Pa;;Hz;°;Hz;°
Sensor;;;;;;;;;;;;;;;;;;;;
PointId;;;;;;;;;;;;;;;;;;;;
PointDir;;'';;'';;'';;;'';;;'';;;'';;;'';;''
Info1;;;;;;;;;;;;;;;;;;;;
Info2;;;;;;;;;;;;;;;;;;;;
Info3;;;;;;;;;;;;;;;;;;;;
Info4;;;;;;;;;;;;;;;;;;;;
Z Axis;;;;;;;;;;;;;;;;
;0,01;-2,49;0,01;-0,79;240,00;0,31;0,00;240,00;0,40;-0,00;240,00;-0,00;-0,01;240,00;-0,00;-0,01;240,00;0,68;240,00;-0,68
;0,01;-2,84;0,01;-0,49;244,00;0,31;0,00;244,00;0,41;-0,00;244,00;0,00;0,00;244,00;0,00;0,00;244,00;0,65;244,00;-0,65
;0,02;-0,93;0,02;-1,46;248,00;0,32;0,00;248,00;0,42;-0,00;248,00;-0,00;-0,01;248,00;-0,00;-0,01;248,00;0,63;248,00;-0,63
;0,02;0,87;0,02;0,39;252,00;0,32;0,00;252,00;0,43;-0,00;252,00;-0,00;0,02;252,00;-0,00;0,02;252,00;0,65;252,00;-0,65
;0,02;1,84;0,02;0,82;256,00;0,33;0,00;256,00;0,44;-0,01;256,00;0,01;-0,01;256,00;0,01;-0,01;256,00;0,69;256,00;-0,69
;0,02;1,38;0,02;-0,45;260,00;0,33;0,00;260,00;0,45;-0,01;260,00;-0,01;-0,00;260,00;-0,01;-0,00;260,00;0,68;260,00;-0,68
;0,02;-0,71;0,02;1,00;264,00;0,33;0,00;264,00;0,46;-0,01;264,00;0,00;0,01;264,00;0,00;0,01;264,00;0,67;264,00;-0,67
;0,02;-1,11;0,02;0,43;268,00;0,34;0,00;268,00;0,47;-0,01;268,00;0,00;-0,00;268,00;0,00;-0,00;268,00;0,66;268,00;-0,66
;0,02;0,18;0,02;-0,85;272,00;0,34;0,00;272,00;0,48;-0,01;272,00;0,00;0,01;272,00;0,00;0,00;272,00;0,66;272,00;-0,66
;0,02;0,36;0,02;-1,89;276,00;0,34;0,00;276,00;0,48;-0,01;276,00;-0,01;-0,01;276,00;-0,01;-0,01;276,00;0,63;276,00;-0,63
;0,02;-2,12;0,02;-1,33;280,00;0,35;0,00;280,00;0,49;-0,01;280,00;0,01;0,01;280,00;0,01;0,01;280,00;0,63;280,00;-0,63
